"country_name","country_code","year","gdp_growth","gdp_pc_c_2015","gov_exp_gdp","lab_partic","trade_gdp","rule_of_law","contr_corrup","cap_inv_gdp","civ_libert","freed_expr"
"Armenia","ARM",2002,13.2,7.36648181010814,9.169,61.383,73.985,-0.439,-0.778,25.42,4,0.689
"Armenia","ARM",2003,14,7.50427481225848,9.385,60.976,80.051,-0.303,-0.649,28.35,4,0.688
"Armenia","ARM",2004,10.5,7.61009012340108,9.356,60.636,73.071,-0.482,-0.703,29.12,4,0.688
"Armenia","ARM",2005,13.9,7.74629331244222,9.71,60.366,70.14,-0.389,-0.683,35.77,4,0.688
"Armenia","ARM",2006,13.2,7.87711538707632,9.266,60.194,61.03,-0.545,-0.669,42.23,4,0.688
"Armenia","ARM",2007,13.7,8.01283527354215,9.398,60.173,56.975,-0.497,-0.746,44.35,4,0.656
"Armenia","ARM",2008,6.9,8.0865638019995,9.396,60.125,54.542,-0.338,-0.712,47.94,4,0.585
"Armenia","ARM",2009,-14.1,7.94100844324322,12.284,60.965,57.274,-0.469,-0.621,41.15,4,0.654
"Armenia","ARM",2010,2.2,7.968861596819,12.044,61.218,64.643,-0.481,-0.695,38.81,4,0.697
"Armenia","ARM",2011,4.7,8.02068557402953,11.91,61.325,69.436,-0.438,-0.665,31.92,4,0.685
"Armenia","ARM",2012,7.2,8.0951931313409,10.91,61.329,75.962,-0.418,-0.588,24.68,4,0.685
"Armenia","ARM",2013,3.3,8.132143464009,11.935,61.44,77.555,-0.341,-0.53,22.15,4,0.66
"Armenia","ARM",2014,3.6,8.17146638304535,12.086,61.543,75.779,-0.418,-0.565,21.28,4,0.66
"Armenia","ARM",2015,3.2,8.20689516196483,13.112,61.658,71.682,-0.463,-0.609,20.73,4,0.657
"Armenia","ARM",2016,0.2,8.21333566551259,13.454,61.778,76.078,-0.161,-0.659,18.02,4,0.662
"Armenia","ARM",2017,7.5,8.29052267767586,12.319,61.786,87.202,-0.21,-0.636,18.42,4,0.683
"Armenia","ARM",2018,5.2,8.3466181335775,11.487,61.749,92.473,-0.197,-0.409,22.4,4,0.824
"Armenia","ARM",2019,7.6,8.42550938835239,12.565,62.891,96.114,-0.178,-0.227,17.41,4,0.861
"Armenia","ARM",2020,-7.2,8.35611581062297,14.969,62.122,69.489,-0.126,-0.003,19.66,4,0.844
"Armenia","ARM",2021,5.8,8.41772572204632,13.65,62.724,79.67,-0.119,0.049,22.96,4,0.801
"Armenia","ARM",2022,12.6,8.54016842772077,12.699,61.86,101.006,-0.169,0.028,21.63,4,0.783
"Azerbaijan","AZE",2002,9.439,7.46973113690305,12.404,72.51,92.818,-0.964,-1.196,34.58,5,0.325
